,country,dummy2011,emis_2011_actual,emis_2011_pred,emis_intens,emis_intens_last_year,emis_pc,emis_proj_2030,emis_proj_2035,emis_proj_2040,emis_proj_2045,emis_proj_2050,emis_tot,gdp_2030,gdp_2035,gdp_2040,gdp_2045,gdp_2050,gdp_pc,gdp_pc_2030,gdp_pc_2035,gdp_pc_2040,gdp_pc_2045,gdp_pc_2050,inc_bins,pop,pop_2030,pop_2035,pop_2040,pop_2045,pop_2050,year
28,Nepal,1,4334394.0,4334394.000000001,7.809180617770399e-05,8.069564542039894e-05,0.1596087576810256,-229318.9206192928,-370100.28442230285,-581399.4514990301,-878356.5780465496,-1268703.8154941846,4334394.0,4057379313.9196506,6548248326.110849,10286801024.81668,15540914811.50768,22447395978.38472,2043.860495655888,104.739,162.535,247.429,364.994,518.696,"(0, 1436.666]",27156367.0,38737999.35,40288235.309999995,41574758.92,42578548.72,43276593.57,2011
29,Niger,1,1422796.0,1422795.9999999905,0.0001040125169383512,0.00010120553725896897,0.08617020103973834,123316.11628220792,228521.91397854433,415508.6197035502,729180.1922792419,1228518.2396761174,1422796.0,1185589195.5321002,2197061668.2028,3994794395.2729,7010504252.20876,11811253835.96164,828.4599159427312,44.547,74.09,122.282,197.237,309.343,"(0, 1436.666]",16511462.0,26614344.300000004,29653956.919999998,32668703.450000003,35543555.480000004,38181739.48,2011
30,Papua New Guinea,1,5229142.0,5229142.000000003,0.00031849648296794497,0.00031441228241610187,0.7456379794201521,96151.74605604874,147512.43873718567,219371.1132964507,314157.03526936215,432895.07982499944,5229142.0,522888648.75631994,802196350.3509791,1192975371.8760958,1708436449.7503002,2354153019.86306,2341.1184088183377,57.64,84.709,121.824,170.347,231.206,"(0, 1436.666]",7012977.0,9071628.188,9470025.031000001,9792613.703999998,10029154.9,10182058.51,2011
31,Rwanda,1,663727.0,663726.9999999941,4.4999346004247125e-05,4.3169939920467134e-05,0.05955745148984033,36637.170898117976,61905.177593517554,100089.66422199822,153842.4533129392,225295.1835629488,663727.0,814171185.8359101,1375690606.4295998,2224247086.00326,3418770870.546,5006632397.31722,1323.518157002086,51.569,81.215,123.303,179.864,252.803,"(0, 1436.666]",11144315.0,15787996.39,16938873.439999998,18038872.42,19007532.75,19804481.74,2011
32,Senegal,1,7858380.999999999,7858380.999999997,0.0002725001910797187,0.00029279764283263036,0.5894933640953234,159847.44297550534,249037.17752300447,375678.94059344276,543412.5182304604,753791.4273523124,7858380.999999999,1159243797.3552802,1806064569.94528,2724494515.35291,3940930048.2861404,5466637566.36792,2163.2768834384774,69.433,103.868,152.107,216.178,297.812,"(0, 1436.666]",13330737.0,16695862.16,17388074.96,17911697.13,18230023.630000003,18356001.66,2011
33,Sierra Leone,1,898415.0,898414.999999998,0.00010942130693978913,9.370179653628284e-05,0.15316961529733827,19413.504863520357,33350.81227411338,55465.99878090818,88271.56252855218,134094.55371541568,898415.0,177419786.022141,304792669.79021996,506903091.656814,806712741.7617599,1225488503.708,1399.8152606751662,20.917,33.596,52.758,80.109,117.173,"(0, 1436.666]",5865491.0,8482085.673,9072290.445,9608080.133,10070188.639999999,10458796.0,2011
34,Solomon Islands,1,198018.0,198018.00000000003,0.00018635037615555815,0.00021044263801210704,0.3680652494344764,167.07118279529556,256.37735041147516,377.9894157885175,534.3368289406725,725.9371840386734,198018.0,3229077.9112700005,4955148.01124,7305612.211485,10327425.847128002,14030592.749325002,1975.1248000016358,4.405,6.44,9.135,12.552,16.725,"(0, 1436.666]",537997.0,733048.334,769432.921,799738.611,822771.3390000002,838899.417,2011
35,Tajikistan,1,2783252.9999999995,2783252.9999999977,0.00016100307939085555,0.00017610682281481087,0.3561492543043052,8585.452999985415,11844.711514753973,15055.762106915563,17658.59833365797,19245.716802958923,2783252.9999999995,325301456.49241996,448794246.207923,570460445.3593,669081498.386086,729217166.2058849,2212.0648601987755,47.14,67.697,90.689,113.618,133.993,"(0, 1436.666]",7814850.0,6900752.152999999,6629455.459,6290293.7,5888868.8270000005,5442203.444999999,2011
36,Tanzania,1,7300996.999999999,7300997.000000035,7.229836898085969e-05,7.319369954349301e-05,0.15750315820820138,-1026096.575146765,-1748727.6372315066,-2843075.9765760815,-4392494.475418149,-6476450.263351689,7300996.999999999,16466969203.956001,28063873173.223648,45626158087.59438,70491484921.789,103935155443.15207,2178.5160637565536,247.41,392.945,602.001,886.775,1259.912,"(0, 1436.666]",46354607.0,66557411.60000001,71419341.57,75790834.38000001,79491962.36,82493980.08999999,2011
37,Timor-Leste,1,183350.0,183350.00000000012,8.437144948797871e-05,9.674713319231827e-05,0.16364808031474698,-535.1290102248252,-834.4909567507538,-1211.4211976086713,-1645.4488489529324,-2075.7809115597456,183350.0,10651594.888392,16610311.606170002,24113003.760938,32752204.073657,41317844.715057,1939.6144229815995,7.692,11.919,17.546,24.589,32.649,"(0, 1436.666]",1120392.0,1384762.726,1393599.4300000002,1374273.553,1331986.013,1265516.393,2011
38,Togo,1,2097524.0,2097523.999999999,0.0002545189390335798,0.00021887954767009903,0.3240768665995911,41210.972745833045,67984.42651130086,109954.92464921717,172455.02822422786,260887.87733912133,2097524.0,161917116.66846102,267109499.86449298,432010777.14185494,677572478.02088,1025023435.7007961,1273.2917551445328,19.823,31.083,48.205,73.112,107.772,"(0, 1436.666]",6472304.0,8168143.907000001,8593427.271,8961949.531,9267595.99,9511036.593,2011
39,Uganda,1,3799012.0,3799011.999999986,6.726386768772696e-05,6.97116538745118e-05,0.10808595318365188,-635012.8888228106,-1136672.3328730087,-1959521.7229363748,-3230561.52522758,-5093772.687029285,3799012.0,9428982777.346052,16877868211.484343,29095939472.431767,47968961762.32926,75634834793.277,1606.8947103286089,173.28900000000004,281.427,445.117,681.654,1009.9,"(0, 1436.666]",35148064.0,54411894.449999996,59972455.42,65366947.28000001,70371422.69,74893390.22999999,2011
40,Vanuatu,1,143013.0,143013.00000000044,0.0002028189272260547,0.0001684249573682198,0.5915054306016263,111.68114895692808,171.75211974898158,257.5036845481683,373.00633098916336,520.3523868228514,143013.0,866819.969288,1333064.42991,1998630.3688339998,2895111.1211880003,4038746.4149269997,2916.421256593846,2.648,3.87,5.566,7.806,10.633,"(0, 1436.666]",241778.0,327348.931,344461.093,359078.399,370882.798,379831.319,2011
